,index,bbl,bin,block,boro,boroid,buildingid,communityboard,highhousenumber,housenumber,lastregistrationdate,lot,lowhousenumber,registrationenddate,registrationid,streetcode,streetname,zip,"('businessapartment', 1)","('businesscity', 1)","('businesshousenumber', 1)","('businessstate', 1)","('businessstreetname', 1)","('businesszip', 1)","('contactdescription', 1)","('corporationname', 1)","('firstname', 1)","('lastname', 1)","('middleinitial', 1)","('registrationcontactid', 1)","('title', 1)","('type', 1)","('businessapartment', 2)","('businesscity', 2)","('businesshousenumber', 2)","('businessstate', 2)","('businessstreetname', 2)","('businesszip', 2)","('contactdescription', 2)","('corporationname', 2)","('firstname', 2)","('lastname', 2)","('middleinitial', 2)","('registrationcontactid', 2)","('title', 2)","('type', 2)","('businessapartment', 3)","('businesscity', 3)","('businesshousenumber', 3)","('businessstate', 3)","('businessstreetname', 3)","('businesszip', 3)","('contactdescription', 3)","('corporationname', 3)","('firstname', 3)","('lastname', 3)","('middleinitial', 3)","('registrationcontactid', 3)","('title', 3)","('type', 3)","('businessapartment', 4)","('businesscity', 4)","('businesshousenumber', 4)","('businessstate', 4)","('businessstreetname', 4)","('businesszip', 4)","('contactdescription', 4)","('corporationname', 4)","('firstname', 4)","('lastname', 4)","('middleinitial', 4)","('registrationcontactid', 4)","('title', 4)","('type', 4)","('businessapartment', 5)","('businesscity', 5)","('businesshousenumber', 5)","('businessstate', 5)","('businessstreetname', 5)","('businesszip', 5)","('contactdescription', 5)","('corporationname', 5)","('firstname', 5)","('lastname', 5)","('middleinitial', 5)","('registrationcontactid', 5)","('title', 5)","('type', 5)","('businessapartment', 6)","('businesscity', 6)","('businesshousenumber', 6)","('businessstate', 6)","('businessstreetname', 6)","('businesszip', 6)","('contactdescription', 6)","('corporationname', 6)","('firstname', 6)","('lastname', 6)","('middleinitial', 6)","('registrationcontactid', 6)","('title', 6)","('type', 6)","('businessapartment', 7)","('businesscity', 7)","('businesshousenumber', 7)","('businessstate', 7)","('businessstreetname', 7)","('businesszip', 7)","('contactdescription', 7)","('corporationname', 7)","('firstname', 7)","('lastname', 7)","('middleinitial', 7)","('registrationcontactid', 7)","('title', 7)","('type', 7)","('businessapartment', 8)","('businesscity', 8)","('businesshousenumber', 8)","('businessstate', 8)","('businessstreetname', 8)","('businesszip', 8)","('contactdescription', 8)","('corporationname', 8)","('firstname', 8)","('lastname', 8)","('middleinitial', 8)","('registrationcontactid', 8)","('title', 8)","('type', 8)"
13,0,1008577503,1089699,857,MANHATTAN,1,952305,5,402,400,2017-09-21,7503,398,2018-09-01,144015,0,PARK AVENUE SOUTH,,400,CHICAGO,2,IL,NORTH RIVERSIDE PLACEAZA,60606,GEN.PART,"EQR-400 PAS, LLC",,,,14401503.0,,CorporateOwner,12FLOOR,NEW YORK,230,NY,WEST 41ST STREET,10036,GEN.PART,EQUITY RESIDENTIAL MANAGEMENT LLC,JORDAN,GOLDSMITH,,14401504.0,,Agent,12FLOOR,NEW YORK,230,NY,WEST 41ST STREET,10036,GEN.PART,,JIM,VON ALBADE,,14401505.0,VICE PRESIDENT,HeadOfficer,12FLOOR,NEW YORK,230,NY,WEST 41ST STREET,10036,GEN.PART,,TATIANA,BOND,,14401506.0,VICE PRESIDENT,Officer,,,,,,,GEN.PART,,JORDAN,GOLDSMITH,,14401513.0,,SiteManager,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
14,0,1009197501,1090104,919,MANHATTAN,1,948896,6,210,210,2017-11-02,7501,204,2018-09-01,144417,17770,EAST 39TH STREET,10016,2FLOOR,NEW YORK,161,NY,CHRYSTIE STREET,10002,LLC,CB TATER PROPERTY LLC,,,,14441703.0,,CorporateOwner,2FLOOR,NEW YORK,161,NY,CHRYSTIE STREET,10002,LLC,CB TARTER PROPERTY LLC,BELLA,SEKONS,B,14441704.0,,Agent,2FLOOR,NEW YORK,161,NY,CHRYSTIE STREET,10002,LLC,,CHARLES,BLAICHMAN,L,14441705.0,MEMBER,HeadOfficer,,,,,,,LLC,,NICK,VUKTILAJ,,14441713.0,,SiteManager,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
15,0,1009337501,1084666,933,MANHATTAN,1,949027,6,339,335,2018-02-02,7501,335,2018-09-01,144127,17530,EAST 27TH STREET,10016,,New York,335,NY,EAST 27TH STREET,10016,GEN.PART,1 MCP LLC,,,,14412703.0,,CorporateOwner,14FLOOR,New York,622,NY,THIRD AVENUE,10017,GEN.PART,FIRSTSERVICE RESIDENTIAL NEW YORK INC.,TAYLOR,KATZ,,14412704.0,,Agent,,Brooklyn,155,NY,THIRD STREET,11231,GEN.PART,,FRANK,DUBINSKY,,14412705.0,REP,HeadOfficer,14FLOOR,New York,622,NY,THIRD AVENUE,10017,GEN.PART,,TAYLOR,KATZ,,14412706.0,AGENT,Officer,,,,,,,GEN.PART,,JAVIER,VILLALTA,,14412713.0,,SiteManager,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
16,0,1010377501,1089782,1037,MANHATTAN,1,972464,4,301,301,2017-09-09,7501,301,2018-09-01,144203,34690,WEST 46TH STREET,10036,,NEW YORK,301,NY,WEST 46TH STREET,10036,CORP,301 HDFC,,,,14420303.0,,CorporateOwner,4,NEW YORK,247,NY,WEST 37TH STREET,10018,CORP,SETTLEMENT HOUSING FUND INC.,MARVIA,GARDNER-DAWSON,,14420304.0,,Agent,,NEW YORK,301,NY,WEST 46TH STREET,10036,CORP,,MARVIA,GARDNER-DAWSON,,14420305.0,PROPERTY MGR,HeadOfficer,,,,,,,CORP,,CAROL,THOMAS,,14420313.0,,SiteManager,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
17,0,1010907502,1089438,1090,MANHATTAN,1,946595,4,615,605,2018-06-12,7502,605,2019-09-01,144230,34610,WEST 42ND STREET,10036,,NEW YORK,605,NY,WEST 42ND STREET,10036,GEN.PART,605 WEST 42ND OWNER LLC,,,,14423003.0,,CorporateOwner,2300,NEW YORK,3,NY,COLUMBUS CIRCLE,10019,GEN.PART,COLUMBUS PROPERTY MANAGEMENT,KIMBERLY,CAFARO,,14423004.0,,Agent,2300,NEW YORK,3,NY,COLUMBUS CIRCLE,10019,GEN.PART,,KIMBERLY,CAFARO,,14423005.0,EVP RESIDENTIAL,HeadOfficer,2300,NEW YORK,3,NY,COLUMBUS CIRCLE,10019,GEN.PART,,HARRY,DREIZEN,,14423006.0,GENERAL COUNCEL,Officer,2300,NEW YORK,3,NY,COLUMBUS CIRCLE,10019,GEN.PART,,JOSEPH,MOINIAN,,14423010.0,,Shareholder,,,,,,,GEN.PART,,EGLI,MEDJA,,14423013.0,,SiteManager,,,,,,,,,,,,,,,,,,,,,,,,,,,,
18,0,1011057501,1089709,1105,MANHATTAN,1,969123,4,655,625,2017-07-25,7501,619,2018-09-01,144143,0,WEST 57TH STREET,10019,49FLOOR,New York,ONE,NY,BRYANT PARK,10036,GEN.PART,DURST PYRAMID LLC,,,,14414303.0,,CorporateOwner,,New York,ONE,NY,BRYANT PARK,10036,GEN.PART,ROYAL REALTY CORP,DAN,MOGOLESKO,,14414304.0,,Agent,49FLOOR,New York,ONE,NY,BRYANT PARK,10036,GEN.PART,,JONATHAN,DURST,,14414305.0,,HeadOfficer,,,,,,,GEN.PART,,STEPHAN,DOWLING,,14414313.0,,SiteManager,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
19,0,1011717509,1089742,1171,MANHATTAN,1,951656,7,50,40,2018-06-19,7509,32,2019-09-01,143960,0,RIVERSIDE BOULEVARD,10032,7FLOOR,NEW YORK,805,NY,THIRD AVENUE,10022,CONDO,ONE RIVERSIDE PARK CONDOMINIUM,,,,14396003.0,,CorporateOwner,7FLOOR,NEW YORK,805,NY,THIRD AVENUE,10022,CONDO,EXTELL MANAGEMENT SERVICES INC.,DAVID,SPECTOR,M,14396004.0,,Agent,7FLOOR,NEW YORK,805,NY,THIRD AVENUE,10022,CONDO,,DONNA,GARANGO,,14396005.0,BOARD MEMBER,HeadOfficer,,,,,,,CONDO,,EMIL,KOLENOVIC,,14396013.0,,SiteManager,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
20,0,1011990053,1031382,1199,MANHATTAN,1,36378,7,36,36,2006-05-03,53,36,2007-04-01,116280,35490,WEST 86TH STREET,10024,,NY,36,NY,WEST 86TH STREET,10024,INDIV,,JEFFREY,SILVERBUSH,A,11628002.0,,IndividualOwner,,,,,,,INDIV,,JOE,BUHAGAIR,,11628013.0,,SiteManager,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
21,0,1014730042,1046035,1473,MANHATTAN,1,16710,8,412,412,2017-09-26,42,412,2018-09-01,120994,18570,EAST 79TH STREET,10075,,NEW YORK,412,NY,EAST 79TH STREET,10075,GEN.PART,ELSARD REALTY ASSOCIATES LLC,,,,12099403.0,,CorporateOwner,3A,NEW YORK,412,NY,EAST 79TH STREET,10075,GEN.PART,,LISA,HARTMANN,E,12099404.0,,Agent,3A,NEW YORK,412,NY,EAST 79TH STREET,10075,GEN.PART,,LISA,HARTMANN,E,12099405.0,PARTNER,HeadOfficer,,,,,,,GEN.PART,,MAGGIE,EMMONS,,12099406.0,SITE MGR,Officer,,NEW YORK,412,NY,EAST 79TH STREET,10075,GEN.PART,,MARARET,EMMOAS,E,12099410.0,,Shareholder,1A,JACKSON HGTS,2136,NY,79TH STREET,11370,GEN.PART,,RICHARD,HARTMANN,V,12099411.0,,Shareholder,,,,,,,GEN.PART,,MARGARET,EMMONS,,12099413.0,,SiteManager,,,,,,,,,,,,,,
22,0,1018650020,1000000,1865,MANHATTAN,1,957979,9,400,400,2017-09-13,20,400,2018-09-01,144268,0,WEST 113TH STREET,10025,,NEW YORK,1047,NY,AMSTERDAM AVENUE,10025,CORP,THE CATHERDAL CHURCH OF ST. JOHN THE DIVINE,,,,14426803.0,,CorporateOwner,3FLOOR,NEW YORK,400,NY,WEST 59TH STREET,10019,CORP,"URBAN ASSOCIATES, LLC",WILCE,ROBLES,,14426804.0,,Agent,,NEW YORK,1047,NY,AMSTERDAM AVENUE,10025,CORP,,MICHAEL,EDWARDS,J,14426805.0,CFO,HeadOfficer,,,,,,,CORP,,ALBERT,FLORES,,14426813.0,,SiteManager,3FLOOR,NEW YORK,400,NY,WEST 59TH STREET,10019,CORP,"MORNINGSIDE ASSOCIATES, LLC",RICHARD,MASON (AUTH REP),F,14426814.0,,Lessee,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
23,0,1021620001,1079920,2162,MANHATTAN,1,805325,12,1379,1361,2018-07-02,1,1361,2019-09-01,138640,31190,SAINT NICHOLAS AVENUE,10033,,NEW YORK,1365,NY,SAINT NICHOLAS AVENUE,10033,CORP,RACHEL BRIDGE CORP,,,,13864003.0,,CorporateOwner,,NEW YORK,1365,NY,SAINT NICHOLAS AVENUE,10033,CORP,RACHEL BRIDGE CORP,JACOB,SCHWIMMER,J,13864004.0,,Agent,,NEW YORK,1365,NY,SAINT NICHOLAS AVENUE,10033,CORP,,JACOB,SCHWIMMER,J,13864005.0,OFFICER,HeadOfficer,,NEW YORK,1365,NY,SAINT NICHOLAS AVENUE,10033,CORP,,BENNY,PELLERANO,,13864006.0,MANAGER,Officer,,,,,,,CORP,,BENNY,PELLERANO,,13864013.0,,SiteManager,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
24,1,1021620001,1079921,2162,MANHATTAN,1,28980,12,119,101,2018-07-02,1,101,2019-09-01,138645,32790,WADSWORTH AVENUE,10033,,NEW YORK,1365,NY,SAINT NICHOLAS AVENUENUR,10033,CORP,RACHEL BRIDGE CORP,,,,13864503.0,,CorporateOwner,,NEW YORK,1365,NY,SAINT NICHOLAS AVENUE,10033,CORP,RACHEL BRIDGE CORP,JACOB,SCHWIMMER,J,13864504.0,,Agent,,NEW YORK,1365,NY,SAINT NICHOLAS AVENUE,10033,CORP,,JACOB,SCHWIMMER,J,13864505.0,OFFICER,HeadOfficer,,NEW YORK,1365,NY,SAINT NICHOLAS AVENUE,10033,CORP,,BENNY,PELLERANO,,13864506.0,MANAGER,Officer,,,,,,,CORP,,BENNY,PELLERANO,P,13864513.0,,SiteManager,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
25,0,1021807501,1064427,2180,MANHATTAN,1,7010,12,83,69,2017-09-08,7501,69,2018-09-01,122953,13110,BENNETT AVENUE,10033,,BRONX,945,NY,UNDERHILL AVENUE,10473,CONDO,THE BENNETT69 CONDO,,,,12295303.0,,CorporateOwner,,BRONX,945,NY,UNDERHILL AVENUE,10473,CONDO,,ABIDIN,RADONCIC,,12295304.0,,Agent,,BRONX,945,NY,UNDERHILL AVENUE,10473,CONDO,,ABIDIN,RADONCIC,,12295305.0,OFFICER,HeadOfficer,,,,,,,CONDO,,ABIDIN,RADONCIC,,12295313.0,,SiteManager,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
26,0,2023347501,2127297,2334,BRONX,2,939251,1,250,250,2018-08-23,7501,250,2019-09-01,227221,0,EAST 144TH STREET,10451,,Richmond Hill,8714,NY,116TH STREET,11418,GEN.PART,MORRIS AVENUE OWNERS LLC,,,,22722103.0,,CorporateOwner,,Richmond Hill,8714,NY,116TH STREET,11418,GEN.PART,WAVECREST MGT GROUP,ALFRED,KARRI,,22722104.0,,Agent,,Richmond Hill,8714,NY,116TH STREET,11418,GEN.PART,,GUIDO,SUBOTOUSKY,,22722105.0,OFFICER,HeadOfficer,,,,,,,GEN.PART,,ALFRED,KARRI,,22722113.0,,SiteManager,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
