,apartment,approveddate,bbl,bin,block,boroid,borough,buildingid,censustract,certifieddate,class,communityboard,councildistrict,currentstatus,currentstatusdate,currentstatusid,highhousenumber,housenumber,inspectiondate,latitude,longitude,lot,lowhousenumber,newcertifybydate,newcorrectbydate,novdescription,novid,novissueddate,novtype,nta,ordernumber,originalcertifybydate,originalcorrectbydate,postcode,registrationid,story,streetcode,streetname,violationid,violationstatus
1,,2016-06-10,1003000020,1003888,300,1,MANHATTAN,5477,16,2016-07-26,A,3,1,VIOLATION DISMISSED,2016-10-06,9,35,35,2016-06-09,40.715897,-73.992078,20,35,,,SECTION 26-1103 ADMIN. CODE: POST AND MAINTAIN A PROPER NOTICE ON WALL OF THE ENTRANCE STORY IN ENGLISH AND SPANISH ON THE AVAILABILITY OF THE AGENCY?S HOUSING INFORMATION GUIDE. A SAMPLE NOTICE CAN BE FOUND AT WWW.NYC.GOV/HPD.,5448943,2016-06-13,Original,Chinatown,500,2016-09-30,2016-09-16,10002,103295,,11610,ALLEN STREET,11269268,Close
2,,2016-06-10,1003000020,1003888,300,1,MANHATTAN,5477,16,2016-07-26,A,3,1,VIOLATION DISMISSED,2016-10-06,9,35,35,2016-06-09,40.715897,-73.992078,20,35,,,"SECTION 329, M/D LAW AND DEPT. RULES AND REGS.  PROVIDE A COMPLETED CERTIFICATE OF INSPECTION VISITS IN A PROPER FRAME AT OR NEAR MAILBOXES, BOTTOM EDGE OF FRAME BETWEEN 48-62 INCHES ABOVE FLOOR MISSING",5448943,2016-06-13,Original,Chinatown,484,2016-09-30,2016-09-16,10002,103295,,11610,ALLEN STREET,11269270,Close
3,,2016-06-10,1003000020,1003888,300,1,MANHATTAN,5477,16,2016-07-26,A,3,1,VIOLATION DISMISSED,2016-10-06,9,35,35,2016-06-09,40.715897,-73.992078,20,35,,,"SECTION 27-2045 ADM CODE  POST A PROPER NOTICE OF SMOKE DETECTOR REQUIREMENTS, IN A FORM APPROVED BY THE COMMISSIONER, AT OR NEAR THE MAIL BOX MISSING",5448943,2016-06-13,Original,Chinatown,700,2016-09-30,2016-09-16,10002,103295,,11610,ALLEN STREET,11269273,Close
4,,2016-06-10,1003000020,1003888,300,1,MANHATTAN,5477,16,2016-07-26,A,3,1,VIOLATION DISMISSED,2016-10-06,9,35,35,2016-06-09,40.715897,-73.992078,20,35,,,"SECTION  27-2046.1 HMC: POST A PROPER NOTICE OF CARBON MONOXIDE DETECTING DEVICE REQUIREMENTS, IN A FORM APPROVED BY THE COMMISSIONER, IN A COMMON AREA OF A CLASS A MULTIPLE DWELLING NEAR INSPECTION CERTIFICATE OR PROVIDE NOTICE TO TENANTS IN A PRIVATE DWELLING.",5448943,2016-06-13,Original,Chinatown,1501,2016-09-30,2016-09-16,10002,103295,,11610,ALLEN STREET,11269276,Close
5,,2016-06-10,1003000020,1003888,300,1,MANHATTAN,5477,16,2016-07-26,A,3,1,VIOLATION DISMISSED,2016-10-06,9,35,35,2016-06-09,40.715897,-73.992078,20,35,,,SECTION 27-2104 ADM CODE  POST AND MAINTAIN A PROPER SIGN ON WALL OF ENTRANCE STORY SHOWING THE REGISTRATION NUMBER ASSIGNED BY THE DEPARTMENT AND THE ADDRESS OF THE BUILDING.,5448943,2016-06-13,Original,Chinatown,778,2016-09-30,2016-09-16,10002,103295,,11610,ALLEN STREET,11269279,Close
6,,2016-06-20,1003000020,1003888,300,1,MANHATTAN,5477,16,2016-07-26,A,3,1,VIOLATION CLOSED,2016-09-08,19,35,35,2016-06-17,40.715897,-73.992078,20,35,,,"SECTION 26-1103 ADMIN. CODE: POST AND MAINTAIN A PROPER NOTICE ON WALL OF THE ENTRANCE STORY IN ENGLISH AND SPANISH ON THE AVAILABILITY OF THE AGENCY?S HOUSING INFORMATION GUIDE. A SAMPLE NOTICE CAN BE FOUND AT WWW.NYC.GOV/HPD. AT PUBLIC HALL, 1st STORY",5455924,2016-06-21,Original,Chinatown,500,2016-10-08,2016-09-24,10002,103295,1,11610,ALLEN STREET,11281559,Close
7,,2016-06-20,1003000020,1003888,300,1,MANHATTAN,5477,16,2016-07-26,A,3,1,VIOLATION CLOSED,2016-09-08,19,35,35,2016-06-17,40.715897,-73.992078,20,35,,,"SECTION  27-2046.1 HMC: POST A PROPER NOTICE OF CARBON MONOXIDE DETECTING DEVICE REQUIREMENTS, IN A FORM APPROVED BY THE COMMISSIONER, IN A COMMON AREA OF A CLASS A MULTIPLE DWELLING NEAR INSPECTION CERTIFICATE OR PROVIDE NOTICE TO TENANTS IN A PRIVATE DWELLING.  AT PUBLIC HALL, 1st STORY",5455924,2016-06-21,Original,Chinatown,1501,2016-10-08,2016-09-24,10002,103295,1,11610,ALLEN STREET,11281560,Close
8,,2016-06-20,1003000020,1003888,300,1,MANHATTAN,5477,16,2016-07-26,A,3,1,VIOLATION CLOSED,2016-09-08,19,35,35,2016-06-17,40.715897,-73.992078,20,35,,,"SECTION 27-2045 ADM CODE  POST A PROPER NOTICE OF SMOKE DETECTOR REQUIREMENTS, IN A FORM APPROVED BY THE COMMISSIONER, AT OR NEAR THE MAIL BOX MISSING  AT PUBLIC HALL, 1st STORY",5455924,2016-06-21,Original,Chinatown,700,2016-10-08,2016-09-24,10002,103295,1,11610,ALLEN STREET,11281561,Close
9,,2016-06-20,1003000020,1003888,300,1,MANHATTAN,5477,16,2016-07-26,A,3,1,VIOLATION CLOSED,2016-09-08,19,35,35,2016-06-17,40.715897,-73.992078,20,35,,,"SECTION 329, M/D LAW AND DEPT. RULES AND REGS.  PROVIDE A COMPLETED CERTIFICATE OF INSPECTION VISITS IN A PROPER FRAME AT OR NEAR MAILBOXES, BOTTOM EDGE OF FRAME BETWEEN 48-62 INCHES ABOVE FLOOR MISSING  AT PUBLIC HALL, 1st STORY",5455924,2016-06-21,Original,Chinatown,484,2016-10-08,2016-09-24,10002,103295,1,11610,ALLEN STREET,11281563,Close
10,,2016-06-20,1003000020,1003888,300,1,MANHATTAN,5477,16,2016-07-26,A,3,1,VIOLATION CLOSED,2016-09-08,19,35,35,2016-06-17,40.715897,-73.992078,20,35,,,"SECTION 27-2104 ADM CODE  POST AND MAINTAIN A PROPER SIGN ON WALL OF ENTRANCE STORY SHOWING THE REGISTRATION NUMBER ASSIGNED BY THE DEPARTMENT AND THE ADDRESS OF THE BUILDING. AT PUBLIC HALL, 1st STORY",5455924,2016-06-21,Original,Chinatown,778,2016-10-08,2016-09-24,10002,103295,1,11610,ALLEN STREET,11281564,Close
11,,2016-06-20,1003000020,1003888,300,1,MANHATTAN,5477,16,2016-07-26,A,3,1,VIOLATION CLOSED,2016-09-08,19,35,35,2016-06-17,40.715897,-73.992078,20,35,,,"SECTION 27-2053 ADM CODE  POST SIGN ON WALL OF ENTRANCE STORY BEARING NAME, ADDRESS INCLUDING APARTMENT NUMBER IF ANY, AND TELEPHONE NUMBER OF SUPERINTENDENT, JANITOR OR HOUSEKEEPER. AT PUBLIC HALL, 1st STORY",5455924,2016-06-21,Original,Chinatown,722,2016-10-08,2016-09-24,10002,103295,1,11610,ALLEN STREET,11281565,Close
12,,2016-10-24,1003000020,1003888,300,1,MANHATTAN,5477,16,,I,3,1,VIOLATION DISMISSED,2017-02-22,9,35,35,2016-10-24,40.715897,-73.992078,20,35,,,"SECTION27-2107 ADM CODE   OWNER FAILED TO FILE A VALID REGISTRATION STATEMENT WITH THE DEPARTMENT AS REQUIRED BY ADM CODE ï¿½ï¿½27-2097 AND IS THEREFORE SUBJECT TO CIVIL PENALTIES, PROHIBITED FROM CERTIFYING VIOLATIONS, AND DENIED THE RIGHT TO RECOVER POSSESSION OF PREMISES FOR NONPAYMENT OF RENT UNTIL A VALID REGISTRATION STATEMENT IS FILED.",0,,,Chinatown,780,,,10002,103295,,11610,ALLEN STREET,11448392,Close
13,,1976-11-18,1003000020,1003888,300,1,MANHATTAN,5477,16,1977-09-22,A,3,1,FIRST NO ACCESS TO RE- INSPECT VIOLATION,2008-10-01,22,35,35,1978-12-19,40.715897,-73.992078,20,35,,,SECTION 300 M/D LAW  FILE PLANS AND APPLICATION AND LEGALIZE THE FOLLOWING ALTERATION OR RESTORE TO THE LEGAL CONDITION EXISTING PRIOR TO THE MAKING OF SAID ALTERATION  STEEL & BLOCK EXTENSION ERECTED AT REAR OF BLDG YARD.,3326332,2008-06-18,Reissued,Chinatown,491,2008-10-05,2008-09-21,10002,103295,Yards / Courts,11610,ALLEN STREET,2370447,Open
14,,1977-09-19,1003000020,1003888,300,1,MANHATTAN,5477,16,2008-07-30,B,3,1,NOT COMPLIED WITH,2008-09-02,21,35,35,1986-03-03,40.715897,-73.992078,20,35,,,"D26-10.01, 10.05 ADM CODE  REMOVE ALL ENCUMBRANCES CONSISTING OF GARBAGE CANS STORED 1 STY PUB HALL AT REAR.",3326333,2008-06-18,Reissued,Chinatown,538,2008-08-06,2008-07-23,10002,103295,,11610,ALLEN STREET,2370448,Open
15,,1986-03-03,1003000020,1003888,300,1,MANHATTAN,5477,16,2008-09-22,A,3,1,FIRST NO ACCESS TO RE- INSPECT VIOLATION,2008-10-01,22,35,35,1986-03-03,40.715897,-73.992078,20,35,,,SECTION 300 M/D LAW  FILE PLANS AND APPLICATION AND LEGALIZE THE FOLLOWING ALTERATION OR RESTORE TO THE LEGAL CONDITION EXISTING PRIOR TO THE MAKING OF SAID ALTERATION  SKYLIGHT SEALED WITH SHEET ROCK PUBLIC HALL BULKHEAD.,3326332,2008-06-18,Reissued,Chinatown,491,2008-10-05,2008-09-21,10002,103295,Roof,11610,ALLEN STREET,2370455,Open
16,15,1989-01-11,1003000020,1003888,300,1,MANHATTAN,5477,16,2008-07-30,B,3,1,NOT COMPLIED WITH,2008-09-02,21,35,35,1989-01-11,40.715897,-73.992078,20,35,,,"SECTION 27-2045, 2046 ADM CODE  PROVIDE AN APPROVED AND OPERATIONAL SMOKE DETECTING DEVICE, INSTALLED IN ACCORDANCE WITH DEPARTMENT OF BUILDINGS RULES AND REGULATIONS  MISSING 5 STY REAR NORTH APT 15. , SECTION '' ''",3326333,2008-06-18,Reissued,Chinatown,701,2008-08-06,2008-07-23,10002,103295,,11610,ALLEN STREET,2370456,Open
17,,2000-05-12,1003000020,1003888,300,1,MANHATTAN,5477,16,2000-06-08,B,3,1,NOT COMPLIED WITH,2000-06-22,21,35,35,2000-05-10,40.715897,-73.992078,20,35,,,SECTION 27-2040 ADM CODE  PROVIDE ADEQUATE LIGHTING AT OR NEAR THE OUTSIDE OF THE FRONT ENTRANCEWAY OF THE BUILDING AND KEEP SAME BURNING FROM SUNSET EVERY DAY TO SUNRISE ON THE DAY FOLLOWING 100 WATTS INCANDESTANT  AT STOOP,1445052,2000-05-15,Original,Chinatown,686,2000-06-29,2000-06-24,10002,103295,,11610,ALLEN STREET,3483311,Open
0,,2014-04-18,1003000021,1003889,300,1,MANHATTAN,5476,16,2014-06-09,B,3,1,VIOLATION DISMISSED,2014-08-20,9,33,33,2014-04-13,40.715825,-73.992114,21,33,,,SECTION 27-2040 ADM CODE  PROVIDE ADEQUATE LIGHTING AT OR NEAR THE OUTSIDE OF THE FRONT ENTRANCEWAY OF THE BUILDING AND KEEP SAME BURNING FROM SUNSET EVERY DAY TO SUNRISE ON THE DAY FOLLOWING 200 WATTS MINIMUM REQUIRED (LIGHT FIXTURES PRESENT),4822505,2014-04-21,Original,Chinatown,686,2014-06-09,2014-05-26,10002,118478,Yards / Courts,11610,ALLEN STREET,10206280,Close
1,,2014-11-17,1003000021,1003889,300,1,MANHATTAN,5476,16,2014-12-03,C,3,1,NOV CERTIFIED LATE,2014-12-03,4,33,33,2014-11-14,40.715825,-73.992114,21,33,,,"SECTION 27-2005, 2007 ADM CODE  REMOVE THE ILLEGAL FASTENING CONSISTING OF A  SLIDEBOLT TYPE DEVICE WITH PADLOCK",4951867,2014-11-18,Original,Chinatown,526,2014-12-01,2014-11-26,10002,118478,,11610,ALLEN STREET,10447348,Open
2,,2014-11-17,1003000021,1003889,300,1,MANHATTAN,5476,16,2014-12-03,C,3,1,NOV CERTIFIED LATE,2014-12-03,4,33,33,2014-11-14,40.715825,-73.992114,21,33,,,SECTION 27-2018 ADM CODE  ABATE THE NUISANCE CONSISTING OF RODENTS EVIDENCE OF RAT DROPPINGS THROUGHOUT BUILDING,4951867,2014-11-18,Original,Chinatown,567,2014-12-01,2014-11-26,10002,118478,All Stories,11610,ALLEN STREET,10447333,Open
3,,2014-11-17,1003000021,1003889,300,1,MANHATTAN,5476,16,2015-01-06,B,3,1,VIOLATION DISMISSED,2015-03-19,9,33,33,2014-11-14,40.715825,-73.992114,21,33,,,"SECTION 27-2005 ADM CODE  PROPERLY REPAIR WITH SIMILAR MATERIAL THE BROKEN OR DEFECTIVE FIRE RETARDANT CEILING  AT PUBLIC HALL, 5th STORY",4951866,2014-11-18,Original,Chinatown,502,2015-01-06,2014-12-23,10002,118478,5,11610,ALLEN STREET,10447353,Close
4,,2014-11-17,1003000021,1003889,300,1,MANHATTAN,5476,16,2015-01-09,A,3,1,VIOLATION DISMISSED,2015-03-23,9,33,33,2014-11-14,40.715825,-73.992114,21,33,,,"SECTION 27-2013 ADM CODE  PAINT WITH LIGHT COLORED PAINT TO THE SATISFACTION OF THIS DEPARTMENT THE CEILING  AT PUBLIC HALL, 5th STORY",4951865,2014-11-18,Original,Chinatown,556,2015-03-07,2015-02-21,10002,118478,5,11610,ALLEN STREET,10447354,Close
5,,2015-06-07,1003000021,1003889,300,1,MANHATTAN,5476,16,,A,3,1,INVALID CERTIFICATION,2015-09-25,28,33,33,2015-06-06,40.715825,-73.992114,21,33,,,"SECTION 27-2011 ADM CODE  CLEANSE TO THE SATISFACTION OF THIS DEPARTMENT THE AT PUBLIC HALL, 1st STORY",5135089,2015-06-08,Original,Chinatown,553,2015-09-25,2015-09-11,10002,118478,1,11610,ALLEN STREET,10739744,Open
6,,2015-06-07,1003000021,1003889,300,1,MANHATTAN,5476,16,2015-06-20,C,3,1,VIOLATION DISMISSED,2015-08-31,9,33,33,2015-06-06,40.715825,-73.992114,21,33,,,"SECTION 27-2018 ADM CODE  ABATE THE NUISANCE CONSISTING OF RODENTS ..  AT PUBLIC HALL, 1st STORY",5135090,2015-06-08,Original,Chinatown,567,2015-06-21,2015-06-16,10002,118478,1,11610,ALLEN STREET,10739750,Close
7,,2015-06-07,1003000021,1003889,300,1,MANHATTAN,5476,16,,A,3,1,INVALID CERTIFICATION,2015-09-25,28,33,33,2015-06-06,40.715825,-73.992114,21,33,,,"SECTION 27-2005 ADM CODE  PROPERLY REPAIR WITH SIMILAR MATERIAL THE BROKEN OR DEFECTIVE VINYL FLOOR TILES  AT PUBLIC HALL, 5th STORY",5135091,2015-06-08,Original,Chinatown,502,2015-09-25,2015-09-11,10002,118478,5,11610,ALLEN STREET,10739763,Open
8,7,2015-06-07,1003000021,1003889,300,1,MANHATTAN,5476,16,,A,3,1,INVALID CERTIFICATION,2015-09-25,28,33,33,2015-06-06,40.715825,-73.992114,21,33,,,"SECTION 27-2005 ADM CODE  PROPERLY REPAIR WITH SIMILAR MATERIAL THE BROKEN OR DEFECTIVE VINYL FLOOR TILES  IN THE PRIVATE HALLWAY  LOCATED AT APT 7, 5th STORY, 1st APARTMENT FROM EAST AT SOUTH",5135091,2015-06-08,Original,Chinatown,502,2015-09-25,2015-09-11,10002,118478,5,11610,ALLEN STREET,10739766,Open
9,7,2015-06-07,1003000021,1003889,300,1,MANHATTAN,5476,16,,A,3,1,INVALID CERTIFICATION,2015-09-25,28,33,33,2015-06-06,40.715825,-73.992114,21,33,,,"SECTION 27-2005 ADM CODE  PROPERLY REPAIR WITH SIMILAR MATERIAL THE BROKEN OR DEFECTIVE VINYL FLOOR TILES  IN THE KITCHEN  LOCATED AT APT 7, 5th STORY, 1st APARTMENT FROM EAST AT SOUTH",5135091,2015-06-08,Original,Chinatown,502,2015-09-25,2015-09-11,10002,118478,5,11610,ALLEN STREET,10739770,Open
10,,2015-06-07,1003000021,1003889,300,1,MANHATTAN,5476,16,,A,3,1,INVALID CERTIFICATION,2015-09-25,28,33,33,2015-06-06,40.715825,-73.992114,21,33,,,"SECTION 27-2005 ADM CODE  PROPERLY REPAIR WITH SIMILAR MATERIAL THE BROKEN OR DEFECTIVE VINYL FLOOR TILES  AT PUBLIC HALL, 1st STORY",5135091,2015-06-08,Original,Chinatown,502,2015-09-25,2015-09-11,10002,118478,1,11610,ALLEN STREET,10739774,Open
11,,2015-09-29,1003000021,1003889,300,1,MANHATTAN,5476,16,,C,3,1,INVALID CERTIFICATION,2015-10-13,28,33,33,2015-09-28,40.715825,-73.992114,21,33,,,"SECTION 27-2018 ADM CODE  ABATE THE NUISANCE CONSISTING OF RODENTS RATS  AT PUBLIC HALL, 1st STORY",5211640,2015-09-30,Original,Chinatown,567,2015-10-13,2015-10-08,10002,118478,1,11610,ALLEN STREET,10880471,Open
12,,2015-09-29,1003000021,1003889,300,1,MANHATTAN,5476,16,2015-11-16,A,3,1,VIOLATION DISMISSED,2016-01-27,9,33,33,2015-09-28,40.715825,-73.992114,21,33,,,"SECTION 26-1103 ADMIN. CODE: POST AND MAINTAIN A PROPER NOTICE ON WALL OF THE ENTRANCE STORY IN ENGLISH AND SPANISH ON THE AVAILABILITY OF THE AGENCY?S HOUSING INFORMATION GUIDE. A SAMPLE NOTICE CAN BE FOUND AT WWW.NYC.GOV/HPD. AT PUBLIC HALL, 1st STORY",5211639,2015-09-30,Original,Chinatown,500,2016-01-17,2016-01-03,10002,118478,1,11610,ALLEN STREET,10880475,Close
13,,2015-10-01,1003000021,1003889,300,1,MANHATTAN,5476,16,,I,3,1,VIOLATION DISMISSED,2015-10-28,9,33,33,2015-10-01,40.715825,-73.992114,21,33,,,"SECTION27-2107 ADM CODE   OWNER FAILED TO FILE A VALID REGISTRATION STATEMENT WITH THE DEPARTMENT AS REQUIRED BY ADM CODE ?27-2097 AND IS THEREFORE SUBJECT TO CIVIL PENALTIES, PROHIBITED FROM CERTIFYING VIOLATIONS, AND DENIED THE RIGHT TO RECOVER POSSESSION OF PREMISES FOR NONPAYMENT OF RENT UNTIL A VALID REGISTRATION STATEMENT IS FILED.",0,,,Chinatown,780,,,10002,118478,,11610,ALLEN STREET,10886719,Close
14,,2016-10-24,1003000021,1003889,300,1,MANHATTAN,5476,16,,I,3,1,VIOLATION DISMISSED,2017-02-01,9,33,33,2016-10-24,40.715825,-73.992114,21,33,,,"SECTION27-2107 ADM CODE   OWNER FAILED TO FILE A VALID REGISTRATION STATEMENT WITH THE DEPARTMENT AS REQUIRED BY ADM CODE ï¿½ï¿½27-2097 AND IS THEREFORE SUBJECT TO CIVIL PENALTIES, PROHIBITED FROM CERTIFYING VIOLATIONS, AND DENIED THE RIGHT TO RECOVER POSSESSION OF PREMISES FOR NONPAYMENT OF RENT UNTIL A VALID REGISTRATION STATEMENT IS FILED.",0,,,Chinatown,780,,,10002,118478,,11610,ALLEN STREET,11449195,Close
15,,2014-06-08,1003000021,1003889,300,1,MANHATTAN,5476,16,2014-06-19,B,3,1,NOT COMPLIED WITH,2014-06-26,21,33,33,2014-06-07,40.715825,-73.992114,21,33,,,"SECTION 27-2021 ADM CODE  PROVIDE SUFFICIENT, PROPER AND SEPARATE METAL RECEPTACLES FOR THE DEPOSIT OF GARBAGE, RUBBISH AND OTHER WASTE MATERIAL AND ARRANGE FOR COLLECTION AND DISPOSAL OF SUCH MATERIAL. AT PUBLIC HALL, 1st STORY",4854411,2014-06-09,Original,Chinatown,571,2014-07-28,2014-07-14,10002,118478,1,11610,ALLEN STREET,10269965,Open
16,,2014-06-08,1003000021,1003889,300,1,MANHATTAN,5476,16,2014-06-19,C,3,1,NOT COMPLIED WITH,2014-06-26,21,33,33,2014-06-07,40.715825,-73.992114,21,33,,,"SECTION 27-2018 ADM CODE  ABATE THE NUISANCE CONSISTING OF RODENTS RATS BELOW STAIR AT STORAGE AREA   AT PUBLIC HALL, 1st STORY",4854412,2014-06-09,Original,Chinatown,567,2014-06-22,2014-06-17,10002,118478,1,11610,ALLEN STREET,10269971,Open
17,,1971-12-10,1003000021,1003889,300,1,MANHATTAN,5476,16,,A,3,1,NOT COMPLIED WITH,2012-09-07,21,33,33,1995-03-09,40.715825,-73.992114,21,33,,,D26-10.01 ADM CODE  PROPERLY REPAIR WITH SIMILAR MATERIAL THE BROKEN OR DEFECTIVE WALLS CELLAR AT FRONT.,3311349,2008-06-11,Reissued,Chinatown,502,2008-09-28,2008-09-14,10002,118478,,11610,ALLEN STREET,2370427,Open
