index,date_utc,full_text,geoenabled,location,long_lat,user
16,Tue Aug 27 22:43:28 +0000 2019,#SocialDistortion #FloggingMolly @ canalside,TRUE,"Fairport, NY",,RickBorn
17,Tue Aug 27 22:35:01 +0000 2019,Free beer= start strong - Drinking a Hayburner by @bigditchbrewing at @canalsidebflo  — https://t.co/5Xa4IJYbUu,TRUE,Buffalo,"{'type': 'Point', 'coordinates': [-78.8788, 42.8771]}",pattyla16
18,Tue Aug 27 16:51:53 +0000 2019,"I'm at Explore &amp; More - The Ralph C. Wilson, Jr. Children's Museum - @exploremore716 in Buffalo, NY https://t.co/bU4la5Tcet",TRUE,The 716,"{'type': 'Point', 'coordinates': [-78.877703, 42.878187]}",FancyTitleHere
19,Tue Aug 27 12:38:12 +0000 2019,"I'm at @CanalsideBflo in Buffalo, NY https://t.co/CYLP6fHbll",TRUE,"Franklin, MA","{'type': 'Point', 'coordinates': [-78.87882603, 42.87705763]}",PaulM138666
20,Mon Aug 26 01:42:25 +0000 2019,These nachos were real good https://t.co/seaenc48EL,TRUE,"Western, NY",,crimtina
21,Sun Aug 25 22:35:11 +0000 2019,"He hung up the French Fry Skillsets for another year; now he is working the Water Taxi in Canalside for a few weeks. Proud of this fella. He likes to learn, work and keep active ! #smilesaysitall Thabks Corey for… https://t.co/HmCAHwhX4F",TRUE,,"{'type': 'Point', 'coordinates': [-78.87976946, 42.87733242]}",SeanCrotty134
22,Sun Aug 25 21:04:59 +0000 2019,"Summer time fun 💜💙 Talia’s dress from tinyrufflesboutique •
•
•
•
#taliatales #jedijace #summer #disneybaby #buffalo #targetstyle #target #buffalowaterfront #buffalocanalside #love #buffalove #tinyrufflesboutique @… https://t.co/QZ6VbAnNRZ",TRUE,Disney World,"{'type': 'Point', 'coordinates': [-78.87860439, 42.87714304]}",sarahhhmarie27
23,Fri Aug 23 21:21:07 +0000 2019,BUFFALOVE ❤️💙❤️💙 @ Buffalo Waterfront https://t.co/uAEpREwKzt,TRUE,United States,"{'type': 'Point', 'coordinates': [-78.87860439, 42.87714304]}",realmarkjansen
24,Thu Aug 22 14:57:45 +0000 2019,~views~ https://t.co/luTmPQeSDw,TRUE,"Hamburg, NY",,crozier_agent
25,Sun Aug 18 19:09:45 +0000 2019,"#summerday ...

📸 https://t.co/5Ixl0Ft5H3 https://t.co/3I8dO3B4r5",TRUE,Niagara University,"{'type': 'Point', 'coordinates': [-78.8793511, 42.8769032]}",LNUGuru
26,Sat Aug 17 23:08:53 +0000 2019,Closing out our #buffalove #summer day with the one and only @sharkgirlbflo. A great day to be a hometown tourist! https://t.co/2PgyiXalRQ,TRUE,"Buffalo, NY",,ScottMPatterson
27,Sat Aug 17 21:56:32 +0000 2019,Paddle #boating at Canalside! @waterbikesbuff #buffalove #summer https://t.co/8Cg7xC09PZ,TRUE,"Buffalo, NY",,ScottMPatterson
28,Sat Aug 17 21:38:28 +0000 2019,"We are privately chartered this evening but we still have two opportunities to cruise with us tomorrow. Join us for a 3pm River Cruise or a 6:30pm Casual Cruise tomorrow, 8/18. See you then!  

📸: @gillianprinzces @… https://t.co/Fkn1GVqvBc",TRUE,"Buffalo, NY","{'type': 'Point', 'coordinates': [-78.87860439, 42.87714304]}",GLCruises
29,Sat Aug 17 21:04:12 +0000 2019,Canalside on a Saturday https://t.co/hCY6Zh7JDl,TRUE,"Town of Tonawanda , NY",,campaignconrad
30,Sat Aug 17 19:18:19 +0000 2019,Next stop: @exploremore716! #buffalove #summer https://t.co/qS55Kh7qVN,TRUE,"Buffalo, NY",,ScottMPatterson
31,Fri Aug 16 23:55:48 +0000 2019,"We have several boats purpose built for alcohol consumption!

#buffalo https://t.co/Pedoj5p2HI",TRUE,"ÜT: 42.750318,-78.889383","{'type': 'Point', 'coordinates': [-78.8791023, 42.8762113]}",gadikian
32,Fri Aug 16 20:51:54 +0000 2019,Mac &amp; Cheese crunch rolls 😍 https://t.co/WlhHdDMp2E,TRUE,,,AlexisLynWade
33,Fri Aug 16 16:33:01 +0000 2019,"I'm at Queen City Bike Ferry in Buffalo, NY https://t.co/xyVFr8STnw",TRUE,The 716,"{'type': 'Point', 'coordinates': [-78.87953909, 42.87715443]}",FancyTitleHere
34,Fri Aug 16 16:32:47 +0000 2019,"I'm at @LibertyHoundBuf in Buffalo, NY https://t.co/I7AAs3mtSn",TRUE,The 716,"{'type': 'Point', 'coordinates': [-78.87967271, 42.87727717]}",FancyTitleHere
35,Fri Aug 16 15:25:19 +0000 2019,Just posted a photo @ Shark Girl https://t.co/y06YQpJfOT,TRUE,"Lancaster, NY","{'type': 'Point', 'coordinates': [-78.8780767, 42.87859761]}",jtarpy
36,Fri Aug 16 00:50:04 +0000 2019,"summer fun on bike paddle boat!!! 
#justsayingbuffalo #canalsidebuffalo 
canalsidebuffalofanpage @ Buffalo Waterfront https://t.co/OXHEVf6B4g",TRUE,"South BUFFALO, NY","{'type': 'Point', 'coordinates': [-78.87860439, 42.87714304]}",annieruok1975
37,Thu Aug 15 22:47:26 +0000 2019,8.15.19 #Drawing: Commercial Slip in Buffalo’s Canalside where the Buffalo Creek was excavated for the terminus of the Erie Canal. https://t.co/yFJHU4poAO,TRUE,New York,,nickdesign
38,Wed Aug 14 05:26:01 +0000 2019,This weekend we visited the Buffalo Naval and Military Park and Canalside on the Buffalo Waterfront. This weekend was also the first Asian Festival in Buffalo that day at Canalside as well. There are so many… https://t.co/Rj9x4vNuiS,TRUE,NYC,"{'type': 'Point', 'coordinates': [-78.87976946, 42.87733242]}",mldisarno
39,Wed Aug 14 02:14:41 +0000 2019,oooh it Just got hot in HEERRRE!!!!! THREE-time #GrammyAwards winner @Nelly_Mo hit the stage in Bufalo NY at #CanalsideLIVE2019 on August 19th 2019. Check out these highlights from that night. Including special Guest… https://t.co/0wwsyo21An,TRUE,"BUFFALO, NY #teamNC CARPE DIEM","{'type': 'Point', 'coordinates': [-78.878525, 42.875731]}",OscarDoezIT
40,Tue Aug 13 19:51:09 +0000 2019,Visited #sharkgirl in Canal Side in Buffalo! #travels #traveler #buffalo #newyork #buffalony #family #familytime #familyovereverything #sharkgirlart  #sharkgirlbuffalo @ Shark Girl https://t.co/PkaFx6uRWN,TRUE,Washington DC Metro Area,"{'type': 'Point', 'coordinates': [-78.8780767, 42.87859761]}",templefareast
41,Tue Aug 13 19:47:03 +0000 2019,Visited #sharkgirl in Canal Side in Buffalo! #travels #traveler #buffalo #newyork #buffalony #family #familytime #familyovereverything #sharkgirlart  #sharkgirlbuffalo @ Shark Girl https://t.co/SOb3hyBql3,TRUE,Washington DC Metro Area,"{'type': 'Point', 'coordinates': [-78.8780767, 42.87859761]}",templefareast
42,Tue Aug 13 15:16:22 +0000 2019,Love those August pro skates at @Harborctr ! @AcademyOfHockey https://t.co/2BsjxNqP2u,TRUE,"Buffalo, New York","{'type': 'Point', 'coordinates': [-78.8780715, 42.8762493]}",DanHickling
43,Tue Aug 13 05:24:11 +0000 2019,Shared my birthday at the @Nelly_Mo concert saturday with these beautiful people... had a blast @ Canalside Live Concert Series https://t.co/2JHgsrgJvA,TRUE,"Buffalo, NY","{'type': 'Point', 'coordinates': [-78.878525, 42.875731]}",4Ever_Chocolate
44,Mon Aug 12 09:38:35 +0000 2019,"Local musician and rapper, Dom Brown and friends, perform as the opening act for Nelly, at Canalside Live, in Buffalo, NY, Saturday. @ Canalside Live Concert Series https://t.co/mOCqL1R5KG",TRUE,Chicago-Wisconsin-New York,"{'type': 'Point', 'coordinates': [-78.878525, 42.875731]}",MiMiV4682
45,Sun Aug 11 19:49:46 +0000 2019,I was kind of feeling myself yesterday lol #bmdc #blackmendontcheat #SojournerSaidItSoItsTrue https://t.co/2j1olncJnU,TRUE,"Buffalo, NY",,DJEdNice
46,Sun Aug 11 17:12:38 +0000 2019,"I'm at @LibertyHoundBuf in Buffalo, NY https://t.co/dOQkSBicvU",TRUE,New York,"{'type': 'Point', 'coordinates': [-78.87967271, 42.87727717]}",StevenMillerROC
47,Sun Aug 11 17:05:45 +0000 2019,"I'm at @CanalsideBflo in Buffalo, NY https://t.co/56lkVOlBfl https://t.co/nyUAhpI1Z3",TRUE,New York,"{'type': 'Point', 'coordinates': [-78.87882603, 42.87705763]}",StevenMillerROC
48,Sun Aug 11 13:56:50 +0000 2019,My birthday went a little something like this @ Canalside Live Concert Series https://t.co/lhq29o673e,TRUE,"Buffalo, NY","{'type': 'Point', 'coordinates': [-78.878525, 42.875731]}",4Ever_Chocolate
49,Sun Aug 11 03:27:38 +0000 2019,@Nelly_Mo #Buffalo #Nelly #CanalsideBuffalo https://t.co/vHo0KIqOh5,TRUE,"Buffalo, NY",,GregOnRadio
50,Sun Aug 11 02:24:34 +0000 2019,Just posted a photo @ Canalside Live Concert Series https://t.co/cfOi7zXc19,TRUE,"Williamsville, NY","{'type': 'Point', 'coordinates': [-78.878525, 42.875731]}",kikimuset
51,Sun Aug 11 02:23:27 +0000 2019,Just posted a photo @ Canalside Live Concert Series https://t.co/8vozBVM4vG,TRUE,"Williamsville, NY","{'type': 'Point', 'coordinates': [-78.878525, 42.875731]}",kikimuset
52,Sun Aug 11 01:28:36 +0000 2019,Just out here trying to live my best life 💃🏼 #summertime #nellyatcanalside  📸: bbonfante @ Canalside Live Concert Series https://t.co/jUTUiFGn9D,TRUE,"Buffalo, NY","{'type': 'Point', 'coordinates': [-78.878525, 42.875731]}",just_jess_20
53,Sun Aug 11 00:56:09 +0000 2019,Where TF in BuffaloNY is #Nelly at!  its time Dude! HIT THE STAGE! https://t.co/AipK5gb8k5 https://t.co/1AdQ3iDEuW dem AirFORCE1s #canalSideBuffalo @ Canalside Live Concert Series https://t.co/wWUPZKW8lr,TRUE,"BUFFALO, NY #teamNC CARPE DIEM","{'type': 'Point', 'coordinates': [-78.878525, 42.875731]}",OscarDoezIT
54,Sun Aug 11 00:41:46 +0000 2019,Just posted a photo @ Canalside Live Concert Series https://t.co/DPixbRaKKE,TRUE,"Williamsville, NY","{'type': 'Point', 'coordinates': [-78.878525, 42.875731]}",kikimuset
55,Sun Aug 11 00:09:27 +0000 2019,Pre- @Nelly_Mo #Buffalo #Nelly https://t.co/cdqIdEiQKh,TRUE,"Buffalo, NY",,GregOnRadio
56,Sat Aug 10 23:32:24 +0000 2019,Congratulations Dom! @ Canalside Live Concert Series https://t.co/fbmdGCnJnY,TRUE,"Williamsville, NY","{'type': 'Point', 'coordinates': [-78.878525, 42.875731]}",kikimuset
57,Sat Aug 10 22:22:08 +0000 2019,"@DomBrown___

Dom Brown and myself down at Canalside Buffalo!!  He will be the opener tonight before Nelly. What a great night it will be. 

#dombrown #canalside  #buffalo #oldschool #beon4 #beon2 #HipHopMusic https://t.co/U308p94NiX",TRUE,Tonawanda,,brianf716
58,Sat Aug 10 22:06:02 +0000 2019,Ready for the Nelly Concert @ Canalside Live Concert Series https://t.co/YEOuXq17IQ,TRUE,"Buffalo, NY","{'type': 'Point', 'coordinates': [-78.878525, 42.875731]}",AJM94x
59,Sat Aug 10 18:02:13 +0000 2019,https://t.co/qYDhLiK5zu,TRUE,"Buffalo, New York",,Brian91abbott
60,Wed Aug 07 10:47:37 +0000 2019,"Best night EVER!!!
THANK YOU  @mybrandonboyd 
#incubus #vip #frontofstage #buffalove #drive #canalsidebuffalo #bucketlistshow @ Canalside Live Concert Series https://t.co/Ho48iRsiAX",TRUE,niagara falls ny,"{'type': 'Point', 'coordinates': [-78.878525, 42.875731]}",silentlnsanity
61,Wed Aug 07 05:32:56 +0000 2019,"Random dude behind me that wanted a pic. No idea, but it’s #Buffalo so I’m sure I know someone who knows him 😋 #Incubus #CanalsideBuffalo https://t.co/a9ezwjSVAt",TRUE,"Buffalo, NY",,GregOnRadio
62,Wed Aug 07 05:26:31 +0000 2019,@IncubusBand #Incubus #CanalsideBuffalo #Buffalo https://t.co/zd7OXZ74qX,TRUE,"Buffalo, NY",,GregOnRadio
63,Wed Aug 07 03:52:23 +0000 2019,Nice night and out in downtown #Buffalo with friends.  Only knew like 5 songs but thought @IncubusBand put on a pretty good show tonight #incubus #canalside https://t.co/F9uLjI919s,TRUE,Tomahawk County,,ThatLaserGame
64,Wed Aug 07 03:15:52 +0000 2019,Wish you were here 🎶 @ Canalside Live Concert Series https://t.co/xWS1JRJyHA,TRUE,"Buffalo, NY","{'type': 'Point', 'coordinates': [-78.878525, 42.875731]}",LonnaLu
65,Wed Aug 07 01:35:20 +0000 2019,#incubus @ Canalside Live Concert Series https://t.co/B7JpODqJn9,TRUE,"iPhone: 42.893879,-78.752289","{'type': 'Point', 'coordinates': [-78.878525, 42.875731]}",digitalkid2112
66,Wed Aug 07 00:31:31 +0000 2019,"I'm at @CanalsideBflo in Buffalo, NY https://t.co/n4JlQVrHT6",TRUE,"Buffalo, New York","{'type': 'Point', 'coordinates': [-78.87882603, 42.87705763]}",jeffreybigmoney
67,Wed Aug 07 00:10:03 +0000 2019,Incubus! - Drinking a Hayburner by @bigditchbrewing at @canalsidebflo  — https://t.co/QtXDXdbDPE,TRUE,"Buffalo, NY","{'type': 'Point', 'coordinates': [-78.8788, 42.8771]}",StevieZ23
68,Tue Aug 06 23:57:31 +0000 2019,This girl gets more photo requests than @sharkgirlbflo @BentleyRadio @1033TheEdge https://t.co/8vSSmrOdt5,TRUE,B-Lo,,lissmoe
69,Tue Aug 06 23:50:50 +0000 2019,@jjwildechild good stuff at Canalside!,TRUE,NY,,grooveace
70,Tue Aug 06 23:46:15 +0000 2019,Even #Constructicons have bring your kid to work day. #Transformers #Decepticons  #Incubus @ Canalside Live Concert Series https://t.co/ZKLwCFLiJB,TRUE,"43.187391,-79.225681","{'type': 'Point', 'coordinates': [-78.878525, 42.875731]}",soresage
71,Tue Aug 06 23:32:04 +0000 2019,Drinking a Blue Citra by Labatt Brewing Company @ Canalside Beer Garden — https://t.co/AvJ9ArRh5J,TRUE,Buffalo,"{'type': 'Point', 'coordinates': [-78.8788, 42.8759]}",pattyla16
72,Tue Aug 06 23:29:41 +0000 2019,"I'm at Canalside for Incubus in Buffalo, NY https://t.co/CRmDQ6fiB6",TRUE,Niagara Falls NY,"{'type': 'Point', 'coordinates': [-78.87882603, 42.87705763]}",tmajic
73,Tue Aug 06 23:10:41 +0000 2019,"😍 (at @CanalsideBflo for Incubus in Buffalo, NY w/ @wildhomesroc) https://t.co/nsEK6cyvcS",TRUE,"Rochester, New York ","{'type': 'Point', 'coordinates': [-78.87882603, 42.87705763]}",danielleriley3
74,Mon Aug 05 18:21:09 +0000 2019,Drinking an After-Sesh Ale by @CigarCityBeer at @libertyhoundbuf — https://t.co/ZM6cKYyyoL,TRUE,,"{'type': 'Point', 'coordinates': [-78.8797, 42.8773]}",gbress70
75,Sun Aug 04 05:54:16 +0000 2019,@MikeonMuch Here’s my best picture from Greg’s big moment. https://t.co/qhSEOCXJJX https://t.co/z3Zcriexa6,TRUE,,,Karen21093
76,Sun Aug 04 05:12:47 +0000 2019,I think that the lighting in this picture really adds to the mystique of the keytar. https://t.co/PqH5h439nZ,TRUE,,,Karen21093
77,Sat Aug 03 17:32:49 +0000 2019,Great to be a part of Hamilton’s invasion of Canalside with thedirtynil and @arkellsmusic  #thedirtynil #arkellsrally #arkells #hamiltonrocks #buffalo #1033theedge #canalsidebuffalo #2019concertseason @ Canalside… https://t.co/d6lQzBSqsL,TRUE,"Woodbridge, Ontario","{'type': 'Point', 'coordinates': [-78.878525, 42.875731]}",Agnew66
78,Sat Aug 03 17:26:32 +0000 2019,Great to be a part of Hamilton’s invasion of Canalside with thedirtynil and @arkellsmusic   #hamiltonrocks #thedirtynil #arkells #buffalo #canalsidebuffalo #2019concertseason #2019concertseries @ Canalside Live… https://t.co/7ArfefCsdG,TRUE,"Woodbridge, Ontario","{'type': 'Point', 'coordinates': [-78.878525, 42.875731]}",Agnew66
79,Sat Aug 03 14:25:09 +0000 2019,Great music + warm summer night + fun friends = a perfect night dancing with @arkellsmusic in #Buffalo! @Roso1978 @DjJozsa @BufWaterfront https://t.co/WodkXJhg01,TRUE,"Buffalo, New York ",,GretchenNichols
80,Sat Aug 03 13:00:06 +0000 2019,First and definitely not the last @arkellsmusic concert! Just an amazing time with @kerratriv!! #buffalove #canalside #arkells https://t.co/cOLQF2VIHS,TRUE,WNY,,BMazzariello
81,Sat Aug 03 05:11:13 +0000 2019,For the @MikeonMuch fans out there: here’s Mike’s brother Greg playing guitar on Private School tonight in Buffalo. https://t.co/hSS2QEma1d,TRUE,,,Karen21093
82,Sat Aug 03 04:02:59 +0000 2019,Thank you @arkellsmusic and @Max_Kerman for making this the best night of mine and @rachel_radice lives 🥰🙏 https://t.co/VwKsRhkjEM,TRUE,"Ontario, Canada",,LaurenVysee
83,Sat Aug 03 02:12:34 +0000 2019,"Arkells, again. 🤘🏻❤️ @ Canalside Live Concert Series https://t.co/zG90tvSLIg",TRUE,,"{'type': 'Point', 'coordinates': [-78.878525, 42.875731]}",danaconnor
84,Sat Aug 03 00:59:35 +0000 2019,"This. Thank you Buffalo. Arkells. ❤️
.
.
.
.
.
#buffalo #arkells #musicfestival #arkells @ Canalside Live Concert Series https://t.co/mdSyDXVK3O",TRUE,"Ancaster, ON","{'type': 'Point', 'coordinates': [-78.878525, 42.875731]}",Queenvanderveen
85,Fri Aug 02 23:53:00 +0000 2019,Arkells - Drinking a Hayburner by @bigditchbrewing at @canalsidebflo  — https://t.co/KMYfar59SQ,TRUE,Orchard Park NY,"{'type': 'Point', 'coordinates': [-78.8788, 42.8771]}",BuffaloBeerGeek
86,Fri Aug 02 23:36:54 +0000 2019,"⚡@arkellsmusic with my faaaave @ouiouiandie! 🎵 (@ Canalside in Buffalo, NY) https://t.co/8YZAQcoRfU",TRUE,"Syracuse, NY","{'type': 'Point', 'coordinates': [-78.87882603, 42.87705763]}",ofrassilon
87,Fri Aug 02 22:13:23 +0000 2019,"truly, a great day (yes, my tag is out )|| ☀️🌊 @ Buffalo Waterfront https://t.co/vNMzCz3ih9",TRUE,"williamsville, ny","{'type': 'Point', 'coordinates': [-78.87860439, 42.87714304]}",marissa_mccabe_
88,Fri Aug 02 21:49:07 +0000 2019,@arkellsmusic we can wait in this lovely @BufWaterfront for a couple hours! Stretching and getting ready to shake a leg!,TRUE,"Thorold, Ontario",,timlewisgeddes
89,Fri Aug 02 21:43:22 +0000 2019,We made it! A perfect day at Canalside to enjoy thedirtynil and @arkellsmusic #thedirtynil #arkells #hamiltonrocks #buffalo @ Canalside Live Concert Series https://t.co/HqLQNaTV9D,TRUE,"Woodbridge, Ontario","{'type': 'Point', 'coordinates': [-78.878525, 42.875731]}",Agnew66
90,Fri Aug 02 18:37:02 +0000 2019,"Looking for a bite to eat this beautiful Friday? We’re open at The Buffalo and Erie County Naval and Military Park serving Sahlens Hot Dogs, Pizza Logs and Crunch Rolls. https://t.co/ej4n96OU6j",TRUE,"Buffalo, NY",,BrycesIceCream
91,Fri Aug 02 18:24:43 +0000 2019,It's a lovely day at Canalside https://t.co/rF3xcF9N3O,TRUE,"Buffalo, NY",,HeatherHenders1
92,Thu Aug 01 21:29:33 +0000 2019,Are you free this Saturday? If not come visit our booth at the Buffalo Science Festival at Canalside! We'll be doing a hybrid motor demonstration 😉🚀 #rockets #buffalo #science https://t.co/JbiFWIAr2K,TRUE,"Buffalo, NY",,ubseds
93,Thu Aug 01 14:20:25 +0000 2019,"Don't forget to Get Your Tickets for the @Nelly_Mo  concert#1K_Simmons 844.487.3846
https://t.co/M4jTll6BXd

#CONCIERGE #RESIDENCE #LUX #LUXURY #MODERN #STYLE #PRIVATE #HANDS #jet #CORPORATE #REALESTATE #CHAUFFEUR… https://t.co/7MuXICB4ig",TRUE,International,"{'type': 'Point', 'coordinates': [-78.878525, 42.875731]}",1K_Simmons
94,Wed Jul 31 22:45:07 +0000 2019,Drinking a Labatt Blue Light Grapefruit by Labatt Brewing Company at @canalsidebflo — https://t.co/8v8mjcZuDL,TRUE,Buffalo ny,"{'type': 'Point', 'coordinates': [-78.8788, 42.8771]}",skidog85
95,Wed Jul 31 22:20:16 +0000 2019,Drinking an 1911 Hard Cider by @1911Spirits at @canalsidebflo — https://t.co/melnnUvXMR,TRUE,Buffalo ny,"{'type': 'Point', 'coordinates': [-78.8788, 42.8771]}",skidog85
96,Wed Jul 31 12:09:18 +0000 2019,#wcw RMR💙 17 days til you’re two. Am I the only mom who cries like once a day leading to your babies birthday? Where did the time go? So big. Thank you again Ben for coming out to take… https://t.co/oN5Wixx1Av,TRUE,"Buffalo, NY","{'type': 'Point', 'coordinates': [-78.87860439, 42.87714304]}",LonnaLu
97,Mon Jul 29 13:07:31 +0000 2019,"Had such a nice day and evening yesterday with family and friends..Canalside fun and refreshment with my mom , sister and nieces and nephew ❤️❤️#summer #summerevenings #familytime #refreshing #friends#family… https://t.co/XL57w5gQii",TRUE,"Buffalo,NY","{'type': 'Point', 'coordinates': [-78.87860439, 42.87714304]}",PennyPenny32
98,Sun Jul 28 18:26:14 +0000 2019,So proud to be an American and thankful for those that keep us free. Beautiful day in Buffalo with the best friends a guy could have 🙌🏼 Merica 🙌🏼 #USA 🇺🇸 #merica #oldglory #716 #buffalo #buffalove #harborside #11 #13… https://t.co/Om0E9AcwDp,TRUE,"Buffalo, NY","{'type': 'Point', 'coordinates': [-78.87860439, 42.87714304]}",Jayconrad19
99,Sun Jul 28 14:03:52 +0000 2019,"Just ridin bikes, tastin Buffalo’s best wings, and meetin new people @ Buffalo Waterfront https://t.co/TPT8XW7Peg",TRUE,,"{'type': 'Point', 'coordinates': [-78.87860439, 42.87714304]}",NoAverageJoe28
100,Sun Jul 28 00:46:52 +0000 2019,"A year ago tonight, @ludacris at #canalsidebuffalo @ Canalside Live Concert Series https://t.co/KvYx4BpZtx",TRUE,"Buffalo, NY","{'type': 'Point', 'coordinates': [-78.878525, 42.875731]}",jimich527
101,Sat Jul 27 17:36:02 +0000 2019,"The Struts and The Glorious Sons the other night at Canalside! 

@thestruts 
@theglorioussons 
@beccaeriin 
canalsidebuffalofanpage @ Canalside Live Concert Series https://t.co/lneqlMcKKd",TRUE,"Buffalo, NY","{'type': 'Point', 'coordinates': [-78.878525, 42.875731]}",RealBenCarella
102,Sat Jul 27 14:37:37 +0000 2019,"My first @theglorioussons concert. Although I had wished it was a headline show I can't complain. Great energy, vibe, and the fans were great. They came out guns blazing and kept it going for an hour. I will… https://t.co/WxC9i2Mf7Y",TRUE,"Ontario, Canada","{'type': 'Point', 'coordinates': [-78.878525, 42.875731]}",SANTADSTAR
103,Sat Jul 27 03:10:26 +0000 2019,"Bones, The Glorious Sons, &amp; The Struts in lovely Buffalo. 

#OnlyFoolsAndHorsesWork
#AWarOnEverything
#YoungAndDangerous
#BonesUK @ Canalside Live Concert Series https://t.co/iSek0wDKAA",TRUE,"Canada, but not always","{'type': 'Point', 'coordinates': [-78.878525, 42.875731]}",MikeStatement
104,Fri Jul 26 18:19:45 +0000 2019,"When we crossed into NY
•
•
#TheDancingDJ #DJBronzze #GodFirst #TourDJ #TheAPX #TourDancer #Tour #Traveling #Travel #WorldTraveler #Tourist #Fun #City #NiagaraFalls #WaterFall #NY #NewYork @ Buffalo Waterfront https://t.co/PNpapbKn8Y",TRUE,"Atlanta, GA","{'type': 'Point', 'coordinates': [-78.87860439, 42.87714304]}",DJBronzze
105,Fri Jul 26 17:31:05 +0000 2019,@theglorioussons @ Canalside Live Concert Series https://t.co/HMJsGTHjyi,TRUE,The 716 ,"{'type': 'Point', 'coordinates': [-78.878525, 42.875731]}",DavisG2042
